Abandono,Género,AdultoMayor,Pareja,Dependientes,PermanenciaMeses,ServicioTeléfono,LíneasMúltiples,SeguridadEnLínea,RespaldoEnLínea,ProtecciónDispositivo,SoporteTécnico,StreamingTV,StreamingPelículas,FacturaciónElectrónica,CargoMensual,CargoTotal,Internet_DSL,Internet_FibraÓptica,Contrato_Mensual,Contrato_1Año,Contrato_2Años,Pago_TransferenciaAutomática,Pago_TarjetaAutomática,Pago_ChequeElectrónico,Pago_ChequeCorreo,CargoDiario,Abandono_Label
0,0,0,1,1,-0.9502002348501813,1,0,0,1,0,1,1,0,1,0.029205952497660555,-0.7437011471575059,1,0,0,1,0,0,0,0,1,0.029205952497660757,Permanencia
0,1,0,0,0,-0.9502002348501813,1,1,0,0,0,0,0,1,0,-0.15998997255419847,-0.7661535001999563,1,0,1,0,0,0,0,0,1,-0.1599899725541983,Permanencia
1,1,0,0,0,-1.1536997576180943,1,0,0,0,1,0,0,0,1,0.30470177318721026,-0.8815250706960845,0,1,1,0,0,0,0,1,0,0.3047017731872102,Abandono
1,1,1,1,0,-0.787400616635851,1,0,0,1,1,0,1,1,1,1.1046354212134917,-0.45938554492741845,0,1,1,0,0,0,0,1,0,1.1046354212134917,Abandono
1,0,1,1,0,-1.1943996621716768,1,0,0,0,0,1,1,0,1,0.6366244487167877,-0.8874579616277339,0,1,1,0,0,0,0,0,1,0.6366244487167878,Abandono
0,0,0,0,1,-0.9502002348501813,1,0,0,0,0,1,1,1,1,0.15533656919890038,-0.7533393380018584,1,0,1,0,0,0,1,0,0,0.15533656919890043,Permanencia
0,0,1,1,0,1.573193847471939,1,0,1,1,1,1,1,1,1,1.4929849515830975,2.481211042934897,0,1,0,0,1,1,0,0,0,1.4929849515830973,Permanencia
0,1,0,1,0,1.2475946110432783,1,1,1,0,0,1,0,0,1,0.6615186493815061,1.3667759281195924,0,1,0,0,1,0,1,0,0,0.661518649381506,Permanencia
0,0,1,0,0,-1.0316000439573465,1,0,1,0,0,0,0,0,1,-0.548339502923804,-0.8552791963144382,1,0,1,0,0,0,0,1,0,-0.5483395029238038,Permanencia
0,0,0,1,1,1.3289944201504433,1,1,1,1,1,1,1,1,1,0.8540338011886609,1.6226621756623334,1,0,0,0,1,0,0,0,1,0.8540338011886609,Permanencia
0,1,0,0,0,0.8812954700610349,0,0,1,0,0,1,1,0,0,-0.6479163055826772,0.0799561459371042,1,0,0,0,1,0,1,0,0,-0.6479163055826769,Permanencia
